sample_id	gene_symbol	entrez_id	log2fc	pvalue	padj	module	module_size	moduleCoverage	moduleCoveragePercetage
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ptgds	id_25526	3.68419090365566	0	0.00000613061638561909	rKIDNEY_13	81	71	87.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Nectin1	id_192183	1.87875567811432	0	0.00000613061638561909	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Havcr1	id_286934	7.6410137348548	0	0.00000712127718609019	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cfi	id_79126	5.18033903093892	0	0.00000712127718609019	rKIDNEY_327	7	5	71.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mcm4	id_29728	2.15771106611764	0	0.00000712127718609019	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tnfaip3	id_683206	2.05665866405629	0	0.00000712127718609019	rKIDNEY_56	24	22	91.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Rrm1	id_685579	1.92545399999706	0	0.00000712127718609019	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mab21l4	id_501185	1.92368505846708	0	0.00000712127718609019	rKIDNEY_1	2747	813	29.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Lig1	id_81513	1.87754202182373	0	0.00000712127718609019	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Lcn2	id_170496	4.95796849625861	0	0.00000913361971563663	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Atf3	id_25389	3.01687068018087	0	0.00000913361971563663	rKIDNEY_29	37	32	86.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Slc22a12	id_365398	-1.53597823758316	0	0.00000913361971563663	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Kcnk1	id_59324	1.1765641336585	0	0.00000913361971563663	rKIDNEY_235	10	10	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_C3	id_24232	4.2976598213644	0	0.000010220640522903	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cdkn1a	id_114851	3.3033534874351	0	0.0000110111379494657	rKIDNEY_160	13	12	92.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Egr2	id_114090	4.49425668724672	0	0.0000111687266223079	rKIDNEY_64m	44	42	95.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cldn1	id_65129	3.18435792476766	0	0.0000117645409537911	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Fgg	id_24367	4.24520425176864	0	0.000011904232742107	rKIDNEY_327	7	5	71.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mcm3	id_316273	2.62986885371044	0	0.0000134731174784774	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Pop5	id_117241	-1.33760457756209	0	0.0000147676852390981	rKIDNEY_26m	64	62	96.9
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Slc34a2	id_84395	4.02385980934465	0	0.0000163989176469533	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mcm2	id_312538	1.73276464511596	0	0.0000163989176469533	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Niban1	id_63912	1.38982580616088	0	0.0000163989176469533	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cxcl1	id_81503	4.00292349529093	0	0.0000169883384644116	rKIDNEY_56	24	22	91.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tcf19	id_406195	2.3357338728314	0	0.0000169883384644116	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cd68	id_287435	2.15890275577642	0	0.0000169883384644116	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Il17rd	id_498576	1.99039680488548	0	0.000017427940345846	rKIDNEY_41m	44	40	90.9
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cd74	id_25599	1.80700054497684	0	0.000017427940345846	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Lamtor5	id_295357	-1.01507669308294	0	0.000017427940345846	rKIDNEY_225	11	9	81.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Kazn	id_313672	1.54502944055447	0	0.0000181714194404653	rKIDNEY_12m	135	118	87.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Arpp19	id_60336	-0.953877904740803	0	0.0000208174314391896	rKIDNEY_368	6	6	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ccnd1	id_58919	2.14284358290735	0	0.0000209580515822797	rKIDNEY_241	10	10	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mcm5	id_291885	2.033289493998	0	0.0000209580515822797	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Larp4b	id_307070	-0.909369354108825	0	0.0000209580515822797	rKIDNEY_77	21	21	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Socs3	id_89829	3.63117672164773	0	0.0000218420430363619	rKIDNEY_56	24	22	91.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Msn	id_81521	1.68972241504506	0	0.0000230874219976061	rKIDNEY_32m	74	72	97.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Bola3	id_297388	-1.12122822222209	0	0.0000230874219976061	rKIDNEY_28m	82	79	96.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Me1	id_24552	-1.62488993246598	0	0.0000238925344063335	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Aoc1	id_65029	4.20235256321403	0	0.0000242809656796572	rKIDNEY_71	22	7	31.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Abca1	id_313210	1.93173474575019	0	0.0000242809656796572	rKIDNEY_72m	39	38	97.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ablim3	id_307395	1.49578068349131	0	0.0000242809656796572	rKIDNEY_291	8	6	75
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cdc20	id_64515	2.80522256129079	0	0.0000252120490896499	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Arg2	id_29215	3.64865857706264	0	0.0000252822946180123	rKIDNEY_331	7	6	85.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Itih2	id_498793	-3.38582371064628	0	0.0000252822946180123	rKIDNEY_15	77	19	24.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cd44	id_25406	2.99991833831302	0	0.0000252822946180123	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Asns	id_25612	2.90786320774636	0	0.0000252822946180123	rKIDNEY_74	21	19	90.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Gprc5a	id_312790	2.84203586827804	0	0.0000252822946180123	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Klf6	id_58954	2.80887239217707	0	0.0000252822946180123	rKIDNEY_64m	44	42	95.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tlr2	id_310553	2.67149615501037	0	0.0000252822946180123	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Efhd2	id_298609	2.05933122502555	0	0.0000252822946180123	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Plk4	id_310344	1.64660399913415	0	0.0000252822946180123	rKIDNEY_5m	318	232	73
